"MEASURE","Measure","PROP_TYPE","Property type","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",1.4,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",-0.8,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",0.9,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",0.8,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",-1,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",-1.5,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",-0.9,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2017-Q3","Sep-2017",-0.8,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2017-Q4","Dec-2017",0.6,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q1","Mar-2018",-0.7,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q2","Jun-2018",-0.7,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q3","Sep-2018",-1,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q4","Dec-2018",-1.9,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q1","Mar-2019",-3,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q2","Jun-2019",-0.8,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2017-Q3","Sep-2017",96.3,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2017-Q4","Dec-2017",93.6,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2018-Q1","Mar-2018",90.4,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2018-Q2","Jun-2018",88.9,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2018-Q3","Sep-2018",86.5,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2018-Q4","Dec-2018",84.6,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q1","Mar-2019",83.3,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q2","Jun-2019",81.1,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2017-Q3","Sep-2017",98.5,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2017-Q4","Dec-2017",98.3,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2018-Q1","Mar-2018",98.1,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2018-Q2","Jun-2018",96.9,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2018-Q3","Sep-2018",95.8,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2018-Q4","Dec-2018",94.4,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q1","Mar-2019",94.3,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q2","Jun-2019",91.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",-0.4,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",-0.2,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",-0.5,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",-0.2,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",-0.7,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",-0.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",-2.7,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",-3.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2017-Q3","Sep-2017",10,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2017-Q4","Dec-2017",3.5,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2018-Q1","Mar-2018",-0.8,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2018-Q2","Jun-2018",-4.1,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2018-Q3","Sep-2018",-4.9,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2018-Q4","Dec-2018",-8.4,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2019-Q1","Mar-2019",-11,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2019-Q2","Jun-2019",-10.1,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2017-Q3","Sep-2017",0.7,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2017-Q4","Dec-2017",0.6,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2018-Q1","Mar-2018",0.5,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2018-Q2","Jun-2018",0.3,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2018-Q3","Sep-2018",0.6,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2018-Q4","Dec-2018",0.1,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2019-Q1","Mar-2019",-0.2,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2019-Q2","Jun-2019",-0.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2017-Q3","Sep-2017",8.3,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2017-Q4","Dec-2017",6.9,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2018-Q1","Mar-2018",4.7,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2018-Q2","Jun-2018",3.8,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2018-Q3","Sep-2018",4.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2018-Q4","Dec-2018",2.1,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q1","Mar-2019",-0.5,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q2","Jun-2019",-0.5,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2017-Q3","Sep-2017",-5.3,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2017-Q4","Dec-2017",-3.8,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2018-Q1","Mar-2018",-3.2,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2018-Q2","Jun-2018",-2.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2018-Q3","Sep-2018",-2.7,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2018-Q4","Dec-2018",-4,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q1","Mar-2019",-3.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q2","Jun-2019",-5.2,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",122.9,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",124,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",123.3,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",124.2,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",125,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",123.6,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",121.7,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",120.9,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2017-Q3","Sep-2017",150.1,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2017-Q4","Dec-2017",151.8,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q1","Mar-2018",150.6,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q2","Jun-2018",149.7,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q3","Sep-2018",147.2,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q4","Dec-2018",143.4,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q1","Mar-2019",139,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q2","Jun-2019",138.1,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2017-Q3","Sep-2017",8.3,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2017-Q4","Dec-2017",5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q1","Mar-2018",2,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q2","Jun-2018",-0.6,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q3","Sep-2018",-1.9,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q4","Dec-2018",-5.1,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q1","Mar-2019",-7.4,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q2","Jun-2019",-7.4,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2017-Q3","Sep-2017",3.4,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2017-Q4","Dec-2017",3.9,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2018-Q1","Mar-2018",4.3,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2018-Q2","Jun-2018",3,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2018-Q3","Sep-2018",1.3,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2018-Q4","Dec-2018",0.7,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2019-Q1","Mar-2019",-0.4,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2019-Q2","Jun-2019",0.5,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2017-Q3","Sep-2017",127.5,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2017-Q4","Dec-2017",129.6,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2018-Q1","Mar-2018",131.5,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2018-Q2","Jun-2018",132.2,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2018-Q3","Sep-2018",132.8,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2018-Q4","Dec-2018",132.3,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q1","Mar-2019",130.8,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q2","Jun-2019",131.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2017-Q3","Sep-2017",13.1,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2017-Q4","Dec-2017",12.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2018-Q1","Mar-2018",14.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2018-Q2","Jun-2018",15.5,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2018-Q3","Sep-2018",13.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2018-Q4","Dec-2018",9.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q1","Mar-2019",3.8,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q2","Jun-2019",1.3,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2017-Q3","Sep-2017",4.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2017-Q4","Dec-2017",3.5,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2018-Q1","Mar-2018",2.7,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2018-Q2","Jun-2018",2.4,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2018-Q3","Sep-2018",2.3,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2018-Q4","Dec-2018",1.7,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q1","Mar-2019",0.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q2","Jun-2019",-0.4,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2017-Q3","Sep-2017",7.8,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2017-Q4","Dec-2017",4.6,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2018-Q1","Mar-2018",0.4,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2018-Q2","Jun-2018",-3.4,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2018-Q3","Sep-2018",-3.3,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2018-Q4","Dec-2018",-6.4,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2019-Q1","Mar-2019",-8.8,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2019-Q2","Jun-2019",-8.6,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2017-Q3","Sep-2017",130,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2017-Q4","Dec-2017",135.1,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2018-Q1","Mar-2018",135.9,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2018-Q2","Jun-2018",141.3,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2018-Q3","Sep-2018",145.5,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2018-Q4","Dec-2018",150.3,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2019-Q1","Mar-2019",148.5,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2019-Q2","Jun-2019",149.9,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2017-Q3","Sep-2017",0.5,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2017-Q4","Dec-2017",0.7,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2018-Q1","Mar-2018",1,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2018-Q2","Jun-2018",0.2,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2018-Q3","Sep-2018",0.4,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2018-Q4","Dec-2018",0.1,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q1","Mar-2019",-0.2,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q2","Jun-2019",-0.7,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2017-Q3","Sep-2017",-6.3,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2017-Q4","Dec-2017",-6.3,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2018-Q1","Mar-2018",-6.5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2018-Q2","Jun-2018",-6.1,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2018-Q3","Sep-2018",-4.4,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2018-Q4","Dec-2018",-3.5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2019-Q1","Mar-2019",-4.2,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2019-Q2","Jun-2019",-5,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2017-Q3","Sep-2017",103.7,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2017-Q4","Dec-2017",104.8,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2018-Q1","Mar-2018",103.9,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2018-Q2","Jun-2018",103.8,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2018-Q3","Sep-2018",103.2,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2018-Q4","Dec-2018",102.2,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2019-Q1","Mar-2019",101.1,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2019-Q2","Jun-2019",99.7,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2017-Q3","Sep-2017",3,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2017-Q4","Dec-2017",4,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2018-Q1","Mar-2018",4.9,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2018-Q2","Jun-2018",2.8,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2018-Q3","Sep-2018",0.9,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2018-Q4","Dec-2018",0.3,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q1","Mar-2019",-0.2,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q2","Jun-2019",0.3,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2017-Q3","Sep-2017",9.3,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2017-Q4","Dec-2017",5.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q1","Mar-2018",2.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2018-Q2","Jun-2018",-0.3,,
